15850	14	5	7.29
1137	292	20	127.49
2261	116	7	9.68
221	1423	4	11.58
12332	113	3	10.12
103	2352	39	69.04
2325	929	9	78.65
106	29337	5	25.48
105	3143	30	65.52
788	224	5	11.11
247	1325	53	430.01
105	417	68	20.47
4850	558	4	31.16
600	103	60	21.1
104	280	209	173.91
3663	14	16	6.08
101	1206	157	279.47
125	16486	3	15.07
311	2125	21	169.22
314	159	13	13.62
218	587	91	652.87
4205	775	3	22.48
189	2307	7	29.5
149	13183	4	25.2
2458	208	4	15.15
4664	502	5	39.67
52487	177	3	33.64
101	7808	11	10.81
985	786	5	26.83
22131	27788	4	88.34
7032	103	8	10.77
133	5336	5	18.64
3100	109	7	6.98
35564	107	5	34.19
114	10582	3	9.41
447	3525	17	161.76
129	19812	4	26.11
273	730	4	8.89
124	2260	12	32.79
751	395	4	12.45
1771	268	18	122.93
335	1471	3	10.77
3521	5873	3	34.84
3401	806	20	219.26
1261	202	3	5.7
178	2466	13	68.53
102	18008	4	8.63
16	1025	4	3.89
2916	6646	5	62.89
1195	245	3	6.92
2	1994	18	63.18
124	414	45	89.97
271	2222	5	24.07
127	1862	9	18.6
1988	2411	3	24.49
1060	108	32	48.7
2086	106	13	5.41
8062	12	23	59.77
124	4899	13	60.37
486	596	3	7.66
139	11411	3	14.88
125	5823	3	6.92
12	22962	3	4.53
2496	116	7	10.98
155	7107	3	12.81
109	9779	4	9.9
29364	14	3	6.74
1476	118	8	7.66
57	9251	5	17.1
1376	129	8	11.52
1805	123	7	9.5
2825	125	5	8.43
101	35507	6	25.13
17026	14	4	5.09
333	1796	3	11.92
185	2899	24	171.6
240	263	21	59.23
336	610	3	5.86
185	796	11	31.72
1199	183	4	7.12
333	4040	3	17.25
686	238	9	28.6
1133	105	40	33.89
208	889	6	15.27
8	15445	4	25.72
3177	14	41	60.87
213	1253	3	6.15
14303	106	4	9.22
3981	14096	7	113.64
240	6959	3	18.47
101	21770	10	38.14
13982	12	7	12.1
130	21336	8	67.42
318	8801	8	77.65
105	38219	4	20.42
7138	121	3	7.63
9918	310	4	34.13
211	7227	4	25.76
117	25736	3	17.45
1086	36534	8	145.19
16849	16858	10	219.8
1411	340	3	10.63
1327	5521	11	131.78
5084	125	3	5.99
101	39468	3	8.98
105	22628	4	13.32
12	72634	3	18.81
1061	3847	3	23.78
111	9853	3	7.32
414	6720	3	22.49
102	1400	28	8.97
285	3074	3	14.01
2131	102	118	413.23
187	1248	11	41.9
627	3600	7	58.54
217	1747	3	8.18
113	13422	6	29.98
27011	14	3	5.76
10763	121	3	10.75
313	1140	6	25.55
1781	1663	3	21.4
251	1973	6	27.72
103	3511	11	6.1
19051	12	5	9.72
102	3379	45	114.91
958	120	13	13.2
6647	1516	3	30.24
157	6740	6	34.24
7674	268	6	49.01
858	131	9	9.47
102	8133	10	17.99
105	7738	6	8.11
101	6418	15	15.81
990	237	3	5.77
1566	106	40	61.33
361	35274	3	36.45
543	108	69	113.79
954	1454	3	16.71
9365	141	3	13.61
133	6421	3	9.61
130	7353	20	141.21
188	8058	4	24.45
105	7906	9	18.81
110	24908	6	38.67
4470	3420	3	32.6
8327	16297	4	69.54
102	7247	6	4.62
17422	14	5	8.65
2521	147	5	12.9
14006	106	31	235.63
104	5921	16	34.7
3641	14	30	36.54
1303	6675	3	29.29
101	4797	27	38.25
